候选写法,标准店名,审计结论,城市,区县或县级市,类别,备注
君来湖滨饭店,湖滨饭店,合并别名,无锡市,滨湖区,自助餐／无锡菜,评论使用酒店完整名称并提到玫瑰园
文明饭店,文明饭店,新增实体,无锡市,滨湖区,家常菜,评论给出江大附近及已开二店线索并强烈推荐剁椒鱼头
绿阳饭店,绿阳饭店,新增实体,无锡市,滨湖区,家常菜,评论给出南泉兴隆路位置并称好吃实惠
柳真真,柳真真,新增实体,无锡市,,餐厅,评论明确称好吃；品类和分店待平台核验
熙城巷,熙城巷,负面排除,无锡市,,餐厅,评论明确使用“一定避雷”而非推荐
小歇茶餐厅,小歇茶餐厅,新增实体,无锡市,,无锡菜,评论者自称无锡土著并明确推荐
附近的姑苏苑面馆,姑苏苑面馆,新增实体,无锡市,,面馆,评论给出经贸路附近位置并称现炒浇头和葱油拌面好吃
盛兴面馆,盛兴面馆,新增实体,常州市,,面馆,评论明确写常州面馆并推荐猪蹄面加雪菜
迎桂馒头店,迎桂馒头店,合并别名,常州市,钟楼区,包子,常州视频评论中的完整写法
交通技校餐厅,交通技校餐厅,新增实体,苏州市,,苏帮菜,苏州视频评论称平价本地菜馆首选
清华酒楼,清华酒楼,新增实体,苏州市,,苏帮菜,与交通技校餐厅并列于正餐推荐清单
珍珠饭店,珍珠饭店,新增实体,苏州市,,苏帮菜,苏州本地玩法视频评论明确推荐
常熟的含晖面馆,含晖面馆,新增实体,苏州市,常熟市,面馆,评论明确推荐常熟门店
富阳春,富阳春,新增实体,苏州市,吴江区,面馆,与含晖面馆和朱鸿兴并列推荐
朱鸿兴,朱鸿兴,新增实体,苏州市,,面馆,评论明确推荐苏州市区非商圈门店
伟记奥面馆,伟记奥面馆,新增实体,苏州市,,面馆,苏州老字号面馆视频评论明确称好吃
法海路的合香面馆,合香面馆,新增实体,苏州市,,面馆,评论给出法海路位置并推荐鱼片和爆鱼
横泾面馆,横泾面馆,新增实体,苏州市,,面馆,与合香面馆并列推荐
同德兴面馆,同德兴面馆,新增实体,苏州市,,面馆,评论明确推荐并称浇头为正宗苏帮菜味道
美味斋,美味斋,新增实体,苏州市,,面馆,评论称本地人从小吃大并推荐枫镇大肉面
金鸡饭店,金鸡饭店,新增实体,镇江市,丹阳市,家常菜,丹阳视频评论明确推荐并提供拆蟹线索
老街面馆,老街面馆,新增实体,镇江市,,面馆,镇江老面馆视频评论明确称最好吃
跳跳面馆,跳跳面馆,新增实体,镇江市,,锅盖面,评论推荐且给出大西路或电力路附近线索
卜家面馆,卜家面馆,新增实体,镇江市,,锅盖面,与跳跳面馆并列推荐并给出江滨新村线索
百度烤肉,百度烤肉,新增实体,镇江市,,韩式烤肉,评论明确推荐酱料但注明五年前信息需复核营业状态
大华面馆,大华面馆,新增实体,镇江市,,锅盖面,同时存在正负评价；保留一行供人工判断
金如意面馆,金如意面馆,新增实体,镇江市,,锅盖面,评论强推并建议多放酱
三子面馆,三子面馆,新增实体,镇江市,,锅盖面,处于镇江常吃面馆清单
宝埝面馆,宝堰面馆,新增实体,镇江市,丹徒区,锅盖面,评论同时写作宝埝和宝堰
润达面馆,润达面馆,新增实体,镇江市,,锅盖面,处于镇江常吃面馆清单
迎江桥小李面馆,迎江桥小李面馆,新增实体,镇江市,,锅盖面,处于镇江常吃面馆清单
0511面馆,0511面馆,新增实体,镇江市,,锅盖面,处于镇江常吃面馆清单
张二面馆,张二面馆,新增实体,镇江市,,锅盖面,评论明确再次推荐且称分量大
老赵面馆,老赵面馆,新增实体,镇江市,,锅盖面,处于镇江常吃面馆清单
立立面馆,立立面馆,新增实体,镇江市,,锅盖面,评论称会从丹徒专程开车去吃
永顺,永顺面馆,新增实体,镇江市,丹徒区,锅盖面,评论给出风景城邦位置并称现炸油条很酥
青年广场的夏面馆,夏面馆,新增实体,镇江市,,锅盖面,评论称好吃并指出前身是岗子下面馆
岗子下面馆,夏面馆,合并别名,镇江市,,锅盖面,夏面馆的旧名称
黄晓春早茶店,黄晓春早茶店,新增实体,无锡市,,早茶,无锡探店视频评论明确推荐
看葛埭饭店哈,葛埭饭店,新增实体,无锡市,滨湖区,家常菜,评论给出南泉雪浪薰衣草花海附近线索并推荐筒肠
美湖文化街的社区店新外星,新外星,新增实体,无锡市,,蟹粉面,视频摘要给出美湖文化街社区店和58元蟹粉面线索
迎新点心店的时候,迎新点心店,新增实体,无锡市,,面点,评论明确称旧店时期的面馄饨和小笼都好吃
常州糕团店的小笼包也,常州糕团店,新增实体,常州市,,糕团／小笼,评论明确称小笼包好吃
三鲜馄饨店的大馄饨巨,三鲜馄饨店,新增实体,常州市,,馄饨,常州视频评论称大馄饨令人念念不忘；正式店名待核验
尝鲜楼,尝鲜楼,新增实体,常州市,,家常菜,评论给出中医院斜对面位置并称豆腐汤好吃
旁边一家南洋咖喱超级,南洋咖喱,新增实体,常州市,,咖喱,评论给出南大街三楼位置并明确称好吃
陈渡桥,陈渡桥火锅,新增实体,常州市,,火锅,评论明确称火锅不错
奎子面馆,奎子面馆,新增实体,镇江市,,锅盖面,镇江长期居住者评论称爆炒干拌更合口味
欣达面馆,欣达面馆,新增实体,镇江市,,锅盖面,评论补充完整店名；另有搬新店后味道下降的评价
伙头烧,伙头烧,新增实体,镇江市,,包子,镇江本地评论将其列为实际去过的包子店
飞泉,飞泉,新增实体,镇江市,,包子,与伙头烧和罗记并列于镇江包子店清单
罗记,罗记,新增实体,镇江市,,包子,与伙头烧和飞泉并列于镇江包子店清单；名称歧义待核验
欣欣饼店,欣欣饼店,新增实体,苏州市,太仓市,饼店,太仓视频评论明确称酱香饼冷后仍脆
哑巴生煎,哑巴生煎,新增实体,苏州市,,生煎,多条评论明确推荐并指出苏安本店优于观前店
苏安新村的哑巴生煎,哑巴生煎,合并别名,苏州市,,生煎,带区域前缀的门店写法
日升糕团店,日升糕团店,新增实体,苏州市,,糕团,苏州视频摘要给出双塔附近位置
荣阳楼,荣阳楼,新增实体,苏州市,,苏式点心,与哑巴生煎等并列于苏州点心推荐清单
义昌福,义昌福,新增实体,苏州市,,苏式点心,处于苏州点心推荐清单
蛮好得,蛮好得,新增实体,苏州市,,苏式点心,处于苏州点心推荐清单；正式店名待平台核验
大客堂,大客堂,新增实体,苏州市,,苏式点心,处于苏州点心推荐清单
长发,长发,新增实体,苏州市,,鲜肉月饼,评论明确推荐长发肉月饼
朱新年,朱新年,新增实体,苏州市,,面馆,评论明确列为苏式浇头面推荐
万福兴,万福兴,新增实体,苏州市,,面馆,与朱新年并列推荐
苏安蛋饼,苏安蛋饼,新增实体,苏州市,,蛋饼,评论给出苏安新村哑巴生煎旁位置
泰鼎鸡,泰鼎鸡,新增实体,苏州市,,白斩鸡,处于苏州新村周边饭店推荐清单
新招鲜,新招鲜,新增实体,苏州市,,鸡汤,处于苏州新村周边饭店推荐清单
祥鑫餐饮店,祥鑫餐饮店,新增实体,苏州市,,小吃,处于苏州新村周边饭店推荐清单
银丝面馆,常州银丝面馆,合并别名,常州市,,面馆,评论常用简称且与西新桥店平台记录一致
爱家面馆,爱家面馆,新增实体,常州市,,面馆,多条常州评论明确推荐
龙凤面馆,龙凤面馆,新增实体,常州市,,面馆,常州视频评论明确正向提及
青城面馆,青城面馆,新增实体,常州市,,面馆,常州视频评论直接推荐
大头面馆,大头面馆,新增实体,常州市,,面馆,与李胖面馆并列且评论明确推荐
常溧面馆,常溧面馆,新增实体,常州市,溧阳市,面馆,溧阳视频评论明确称好吃
德安面馆,德安面馆,新增实体,常州市,,面馆,常州评论正向推荐
鸭浇面馆,鸭浇面馆,新增实体,常州市,,面馆,评论按钟楼区域推荐
李胖面馆,李胖面馆,新增实体,常州市,,面馆,与大头面馆并列提及供人工确认
三毛面馆,三毛面馆,新增实体,常州市,,面馆,评论明确称好吃并给出大桥线索
老二饭店,老二饭店,新增实体,常州市,,家常菜,处于常州本地店清单
南洋面馆,南洋面馆,新增实体,常州市,,面馆,前黄本地评论正向提及
龙船浜面馆,龙船浜面馆,新增实体,常州市,,面馆,评论明确称拌面好吃
一乐面馆,一乐面馆,新增实体,常州市,,面馆,评论按湖塘区域推荐
光头饭店,光头饭店,新增实体,常州市,,家常菜,处于常州本地店清单
福记饭店,福记饭店,新增实体,常州市,,常州菜,评论建议品尝常州菜
沈记面馆,沈记面馆,新增实体,常州市,,面馆,评论明确唯一推荐
西门面馆,西门面馆,新增实体,常州市,,面馆,常州评论出现完整店名
一下罗溪有家云鹏面馆,云鹏面馆,新增实体,常州市,,面馆,去除推荐句式和地点前缀
蒸芝味老常州菜馆,蒸芝味老常州菜馆,新增实体,常州市,,常州菜,评论出现完整店名
常州福记逸高水产自助餐厅,福记逸高水产自助餐厅,新增实体,常州市,,自助餐,去除城市前缀后保留完整店名
同丰饭店,同丰饭店,新增实体,苏州市,昆山市,面馆,昆山评论多次推荐大排面
鸿丰面馆,鸿丰面馆,新增实体,苏州市,常熟市,面馆,常熟评论直接推荐
协和菜馆,协和菜馆,新增实体,苏州市,,苏帮菜,多条评论明确推荐葱油拌面等
十全街上的协和菜馆,协和菜馆,合并别名,苏州市,,苏帮菜,去除十全街地点前缀
一下协和菜馆,协和菜馆,合并别名,苏州市,,苏帮菜,去除推荐句式
鱼比协和菜馆,协和菜馆,合并别名,苏州市,,苏帮菜,候选截断写法归并标准店名
糊涂面馆,糊涂面馆,新增实体,苏州市,昆山市,面馆,昆山语境中正向推荐
乡村锦溪面馆,乡村锦溪面馆,新增实体,苏州市,昆山市,面馆,昆山语境中正向提及
鸿汛面馆,鸿汛面馆,新增实体,苏州市,常熟市,面馆,评论给出珠江路线索并称每次去必吃
宝生面馆,宝生面馆,新增实体,苏州市,常熟市,面馆,常熟评论推荐老派口味
天天鲜面馆,天天鲜面馆,新增实体,苏州市,,面馆,评论直接强推
阿成饭店,阿成饭店,新增实体,苏州市,,苏帮菜,凤凰街语境多次正向提及
凤凰街阿成饭店,阿成饭店,合并别名,苏州市,,苏帮菜,去除凤凰街地点前缀
阿成菜馆,阿成饭店,合并别名,苏州市,,苏帮菜,同一门店异写
鹿城饭店,鹿城饭店,新增实体,苏州市,常熟市,家常菜,常熟评论列为常去饭店
常吉兴面馆,常吉兴面馆,新增实体,苏州市,常熟市,面馆,常熟同事推荐且靠近虞山尚湖
松鹤面馆,松鹤面馆,新增实体,苏州市,,面馆,评论明确推荐卤鸭浇头
嵩山面馆,嵩山面馆,新增实体,苏州市,常熟市,面馆,处于常熟本地店推荐清单
杨梅馄饨店,杨梅馄饨店,新增实体,苏州市,昆山市,馄饨,昆山饮食比较语境出现完整店名
秀峰面馆,秀峰面馆,新增实体,苏州市,昆山市,面馆,昆山本地评论称排骨好吃
丁一饭店,丁一饭店,新增实体,苏州市,,藏书羊肉,苏州本地评论明确推荐
城北食府,城北食府,新增实体,苏州市,常熟市,家常菜,处于常熟本地店推荐清单
南林饭店,南林饭店,新增实体,苏州市,,苏帮菜,评论在排除其他店后明确推荐
红村面馆,红村面馆,新增实体,苏州市,,面馆,评论称味道惊艳
北门饭店,北门饭店,新增实体,苏州市,,家常菜,评论直接建议尝试
洋洋中餐厅,洋洋中餐厅,新增实体,苏州市,,苏帮菜,与新聚丰并列正向推荐
胥城饭店,胥城饭店,新增实体,苏州市,,苏帮菜,评论明确推荐二楼奥灶面
古里名师面馆,古里名师面馆,新增实体,苏州市,常熟市,面馆,评论直接称好吃
山塘街的老盛兴菜馆,老盛兴菜馆,新增实体,苏州市,,苏帮菜,去除山塘街地点前缀
太仓的八运饭店,八运饭店,新增实体,苏州市,太仓市,家常菜,评论强烈推荐草鸡和土菜
木渎镇的塔影饭店,塔影饭店,新增实体,苏州市,,家常菜,评论给出木渎位置并正向推荐
秋娟小吃店,秋娟小吃店,新增实体,苏州市,,小吃,评论出现完整店名供人工确认
一下杨杨面馆,杨杨面馆,新增实体,苏州市,常熟市,面馆,去除推荐句式
常熟博物馆对面桦味面馆,桦味面馆,新增实体,苏州市,常熟市,面馆,去除常熟博物馆位置前缀
蔡纪面馆,蔡纪面馆,新增实体,苏州市,昆山市,面馆,昆山评论出现完整店名
紫竹路上的长脚爊鸭面馆,长脚爊鸭面馆,新增实体,苏州市,昆山市,面馆,去除紫竹路地点前缀
安亭镇上的小昆山面馆,小昆山面馆,新增实体,苏州市,昆山市,面馆,去除安亭镇地点前缀
石家饭店,石家饭店,新增实体,苏州市,,苏帮菜,评论明确指向苏州木渎石家饭店
傻子面馆,傻子面馆,新增实体,苏州市,昆山市,面馆,昆山探店语境明确推荐
风云面馆,风云面馆,新增实体,镇江市,,锅盖面,镇江评论强烈推荐长鱼面
长江路小冯面馆,小冯面馆,新增实体,镇江市,,锅盖面,去除长江路地点前缀
镇南面馆,镇南面馆,新增实体,镇江市,,锅盖面,镇江评论正向推荐
胖胖面馆,胖胖面馆,新增实体,镇江市,,锅盖面,评论推荐巴鱼面
大排吃青年广场胖胖面馆,胖胖面馆,合并别名,镇江市,,锅盖面,去除菜品和青年广场地点前缀
好再来面馆,好再来面馆,新增实体,镇江市,,锅盖面,评论明确称好吃且服务好
陶大面馆,陶大面馆,新增实体,镇江市,,锅盖面,评论直接强烈推荐
大国面馆,大国面馆,新增实体,镇江市,,锅盖面,评论称爆炒浇头好吃
爆炒吃桃花坞大国面馆,大国面馆,合并别名,镇江市,,锅盖面,去除菜品和桃花坞地点前缀
实验高中门口的大国面馆,大国面馆,合并别名,镇江市,,锅盖面,去除实验高中地点前缀
你去大国面馆,大国面馆,合并别名,镇江市,,锅盖面,去除推荐句式
小蒋面馆,小蒋面馆,新增实体,镇江市,,锅盖面,评论明确推荐肥肉浇头
镇扬菜馆,镇扬菜馆,新增实体,镇江市,,镇江菜,评论称几十年老店
大龙面馆,大龙面馆,新增实体,镇江市,,锅盖面,评论正向提及且说明前身
市中心的邵顺兴面馆,邵顺兴面馆,新增实体,镇江市,,锅盖面,去除市中心地点前缀
往前走一点的邵家面馆,邵家面馆,新增实体,镇江市,,锅盖面,去除方位口语前缀
山泽园旁边的田家面馆,田家面馆,新增实体,镇江市,,锅盖面,去除山泽园地点前缀
政府边上的中诚美食府,中诚美食府,新增实体,镇江市,,家常菜,去除政府方位前缀
镇江兴达面馆,兴达面馆,新增实体,镇江市,,锅盖面,去除城市前缀
镇江中学门口的老三面馆,老三面馆,新增实体,镇江市,,锅盖面,去除镇江中学地点前缀
大市口弥陀寺巷的李三面馆,李三面馆,新增实体,镇江市,,锅盖面,去除大市口弥陀寺巷地点前缀
大市口的鸿运餐厅,鸿运餐厅,新增实体,镇江市,,家常菜,去除大市口地点前缀
太湖饭店,太湖饭店,新增实体,无锡市,,无锡菜,评论明确称君来集团门店可吃正宗梁溪脆鳝
二泉老菜馆,二泉老菜馆,新增实体,无锡市,,无锡菜,评论明确称脆鳝地道实惠
孙嫂面馆,孙嫂面馆,新增实体,无锡市,,面馆,评论直接称最好吃
市政府那边的龙渚饭店,龙渚饭店,新增实体,无锡市,,无锡菜,去除市政府方位前缀并保留牛肉推荐
三凤桥对面的穆桂英小吃店,穆桂英小吃店,新增实体,无锡市,,小吃,去除三凤桥方位前缀
大姚菜馆,大姚菜馆,新增实体,无锡市,,家常菜,评论明确称味道不错
沁园这边的清三面馆,清三面馆,新增实体,无锡市,,面馆,去除沁园地点前缀
旁边的圆圆包子店,圆圆包子店,新增实体,无锡市,,包子,去除方位前缀且评论明确推荐
旁边的水英面店,水英面店,新增实体,无锡市,,面馆,去除方位前缀
玉祁那边的礼舍面馆,礼舍面馆,新增实体,无锡市,,面馆,去除玉祁地点前缀
一下鸡鸭鹅大饭店,鸡鸭鹅大饭店,新增实体,无锡市,,无锡菜,去除推荐句式
一手东红饭店,东红饭店,新增实体,无锡市,,无锡菜,候选截断写法归并完整店名
义隆素菜馆,义隆素菜馆,新增实体,常州市,,素菜／糕点,评论明确推荐枣泥馅重阳糕
八个菜小面馆,八个菜小面馆,范围外排除,石家庄市,正定县,面馆,评论虽明确推荐但不属于本项目四市范围
