"标准店名","出现写法","评论提及数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","推荐判定","语义判定依据","精筛结论","类别","平台匹配状态","高德链接","点评链接","精筛阶段","证据BV号","证据评论ID","证据摘录","备注"
"勤德兴","勤德兴","34","8","无锡市","无锡市","7","1","2","24","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","双平台已有记录","https://www.amap.com/place/B0FFGYOB2K","https://www.dianping.com/shop/k73JsSxMRnZEz5am/photos","P2-双平台匹配","BV1cURwYnEum","256313082033","锡盛源不好吃，勤德兴好吃服务环境也好但是以前馄饨大做了活动促销以后越小越小","分店待确认"
"Punch House","Punch House／PunchHouse／PUNCH／punch","52","3","无锡市","无锡市","6","1","1","44","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","西餐／酒吧","待平台核验","","","N-待平台核验","BV1WrK56AEKj","309623727872","可惜了，其实可以试试那家PUNCH美式烤肉自助的，太神了，无锡吃过最夯的，就是现在预约太难了[汤圆]","英文大小写合并"
"古香楼","古香楼","31","5","无锡市","无锡市","6","4","1","20","存在明确推荐","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","本帮菜","双平台已有记录","https://www.amap.com/ranking/wuxi/food/320213","https://www.dianping.com/shop/2943202/photos","P2-双平台匹配","BV1cURwYnEum","257105450112","回复：芦庄超王记也还可以。 我家那儿的古香楼也不错。",""
"锡笼记","锡笼记","42","10","无锡市","无锡市","5","0","6","31","存在明确推荐","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","双平台已有记录","https://ranks.amap.com/ranking/%E5%8C%85%E5%AD%90%E9%93%BA/320200/%E6%B8%B8%E5%AE%A2","https://m.dianping.com/shop/16988444","P2-双平台匹配","BV1Ue4y1r7QE","132748563568","说无锡甜的，我就觉得很搞笑，你怎么不说四川辣，广东宣，就像吃咸鱼咸肉说太咸，臭豆腐太臭，这不是找茬吗？无锡是没有辣的饭店吗？没有清淡的，没有味道浓厚的吗？就一定要喷到把一个地方特色给改没了。做为一个土生土长瘪三的小无锡人，无锡美食已经消失了…",""
"穆桂英美食","穆桂英／穆桂英美食","37","12","无锡市","无锡市","5","0","2","30","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","无锡小吃","双平台已有记录","https://www.amap.com/place/B01FE0IEJ8","https://m.dianping.com/shop/17888515?msource=applemaps","P2-双平台匹配","BV1Ue4y1r7QE","132566257552","两年前去的无锡 他们的穆桂英美食 三凤桥排骨和熙盛源不错 很地道的无锡美食但是会偏甜 他们什么菜都要加很多很多白砂糖！ 不知道丹牛吃不吃的惯 我都吃过 这些小众美食我没有尝试过下次会来看看",""
"淼品香","淼品香","16","3","无锡市","无锡市","5","0","2","9","存在明确推荐","含明确负向体验；明确正向用餐体验；明确重复到店行为；只有店名提及，缺少推荐语义","保留候选","无锡小吃","待平台核验","","","N-待平台核验","BV1cURwYnEum","256596829185","淼品香也不错 配上酸辣汤很好吃",""
"忆秦园","忆秦园／秦园","25","5","无锡市","无锡市","4","1","2","18","存在明确推荐","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","待平台核验","","","N-待平台核验","BV1Wj411n7PD","200962811936","呀，我大二去过这！里面忆秦园小笼好吃的嘞，里面商铺卖的豆腐脑居然是咸的，好吃，但是买的特产都好甜哈哈","秦园短名需结合餐饮语境"
"和团团","和团团","14","6","无锡市","无锡市","4","0","0","10","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小吃","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","272667022657","来无锡的话吃个店叫 和团团还是很不错的蛮正宗的无锡菜",""
"义兴斋","义兴斋","14","5","无锡市","无锡市","4","0","0","10","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","清真／小吃","仅地图已有记录","https://www.amap.com/ranking/wuxi/food/320213","","P1-单平台匹配","BV1Ue4y1r7QE","134203320576","这家包子并不好吃！上马墩义兴斋的好吃！他家肉包菜包真的好吃😋",""
"淘米水私房菜","淘米水私房菜／淘米水","9","3","无锡市","无锡市","4","3","2","1","存在明确推荐","含反讽或戏谑信号；含明确负向体验；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","无锡私房菜","待平台核验","","","N-待平台核验","BV1GgXNBiESt","296883428240","回复：淘米水确实也不错","实体为向阳路店；比较句仍不计推荐，明确正向体验按正常语义判断"
"无锡鸡鸭鹅大酒店","鸡鸭鹅大酒店／鸡鸭鹅大饭店／无锡鸡鸭鹅大酒店","21","7","无锡市","无锡市","3","0","0","18","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","本帮菜","仅地图已有记录","https://www.amap.com/place/B0K6BCASIK","","P1-单平台匹配","BV1GgXNBiESt","296862796272","本地菜最基础保险的选择是老牛窝里，最好去他们家老店，体验本地常吃的早面菜饭一类可以去鸡鸭鹅大饭店、丰鼎鸡汤面馆、春笋面馆，南禅寺小吃街现在很同质化了我是不太推荐去的，可以试试海棠糕和梅花糕，就是要注意可能真的很甜顶不住，还想找些小吃可以去稻…",""
"陆稿荐","陆稿荐","16","9","无锡市","无锡市","3","2","0","11","存在明确推荐","明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","熟食","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","134218010912","回复：三凤桥的不好吃，还是陆稿荐的好吃。",""
"东盛","东盛","10","3","无锡市","无锡市","3","1","0","6","存在明确推荐","明确到店或菜品推荐；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","待歧义消解","自助餐","待平台核验","","","D-歧义待解","BV1PtMF6YECD","305294260705","可以去排一下无锡万象城刚开的东盛，工作日午市120一位，也有干式熟成＋先切牛羊肉，还有三文鱼","名称过短且分店待确认"
"阿娟馄饨店","阿娟馄饨／阿娟馄饨店","9","5","无锡市","无锡市","3","0","0","6","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","馄饨","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","132717315088","[妙啊]圆圆包子店的大哥就是店老板，我小时候就有这家店了，以前他家还卖过鸡子大饼，他家的包子确实好吃，和锡山大桥底下的人可味道差不多。他家对面的阿娟馄饨店也强烈推荐，也是老店。",""
"君溢面馆","君溢面馆","7","3","无锡市","无锡市","3","0","0","4","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆","待平台核验","","","N-待平台核验","BV1KbygBJELh","281079868737","同新吴区，君溢面馆超级好吃",""
"和兴记","和兴记","5","3","无锡市","无锡市","3","0","0","2","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","待平台核验","","","N-待平台核验","BV1e314YJEFA","245773150128","可以去试试和兴记[支持]","分店待确认"
"老友记","老友记／惠龙新村老友记","35","6","无锡市","无锡市","2","3","0","30","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","家常菜／馄饨","仅地图已有记录","https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E8%80%81%E5%8F%8B%E8%AE%B0%20%E6%83%A0%E9%BE%99%E6%96%B0%E6%9D%91","","P1-单平台匹配","BV1vieoz9Eb9","273985700432","南长街和小娄巷都有店，但是本地人真心劝你不要去吃，真的没有那么好吃，你想吃正宗无锡本帮菜，你就去三凤桥大排档，苍蝇小馆或者面馆啥的你可以去吃老友记","分店待确认"
"陶兴宝点心店","陶兴宝／陶兴宝点心店","27","3","无锡市","江阴市／无锡市","2","1","4","20","存在明确推荐","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","点心／早餐","仅地图已有记录","https://ranks.amap.com/ranking/%E5%8C%85%E5%AD%90%E9%93%BA/320200/%E6%B8%B8%E5%AE%A2","","P1-单平台匹配","BV1L1421Z7Zz","218338721712","陶兴宝 没10年前好吃了，现在鲜的都是鸡精 味精","江阴门店"
"牛New","牛new／牛New／牛NEW","20","4","无锡市","无锡市","2","1","2","15","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","牛肉火锅／自助","待平台核验","","","N-待平台核验","BV1GgXNBiESt","294338372977","回复：上海牛new好吃。 现在抖音上无锡饭店探店广告多的坚决不能去","分店待确认"
"老法头","老法头","15","7","无锡市","无锡市","2","0","1","12","存在明确推荐","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小吃","待平台核验","","","N-待平台核验","BV1ti421i77i","226473175280","回复：菜阿婆那家不好吃，老法头对面在那个生煎包旁边的那个好吃得多",""
"新万鑫","新万鑫","15","6","无锡市","无锡市","2","0","1","12","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","西北菜／小吃","待平台核验","","","N-待平台核验","BV1e314YJEFA","245568472465","回复：新万鑫确实便宜好吃，一碗面带点配菜人均不四十吧，带过两批苏州和扬州的朋友去吃过，都说很不错[妙啊]前段时间还去吃了蟹黄面，一碗不够吃还让人加了碗面[大笑]",""
"春笋面馆","春笋面馆","10","5","无锡市","无锡市","2","0","0","8","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆","待平台核验","","","N-待平台核验","BV1cURwYnEum","257345188752","回复：古香楼的红辣汤味道是真的不错超王记都没得比，还有一个叫春笋面馆的拌面也好吃，不过只有两家评分高的好吃其他店都难吃，一家叙康一家好像是长安",""
"游侠烤肉","游侠烤肉","10","1","无锡市","无锡市","2","0","0","8","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","烤肉","待平台核验","","","N-待平台核验","BV1GgXNBiESt","297031524416","如果不吃自助的话新吴有家叫游侠烤肉的很好吃，要预约。",""
"鼎福记","鼎福记","8","5","无锡市","无锡市","2","0","0","6","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小笼／馄饨","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","133185158768","我觉得鼎福记就很好吃[脱单doge]",""
"湖滨饭店","湖滨饭店","8","6","无锡市","无锡市","2","0","0","6","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","酒店餐饮","待平台核验","","","N-待平台核验","BV1Z9NJ6vEPS","308845818832","鸡鸭鹅就是骗外地人的，完全是被网红炒红的😅地道无锡菜 湖滨饭店，平价天福苑",""
"糊涂生煎","糊涂生煎","7","5","无锡市","江阴市／无锡市","2","1","2","2","存在明确推荐","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","生煎","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","132731162928","回复：玉兰饼有个非常规做法的，糊涂生煎的我推荐，我觉得比传统的好吃",""
"小峰饭店","小峰饭店","7","2","无锡市","无锡市","2","0","1","4","存在明确推荐","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","家常菜","待平台核验","","","N-待平台核验","BV1e314YJEFA","245786894256","回复：笑死个人，南长街门口小峰饭店还排大队呢，好吃吗？你一定也很喜欢现在小峰饭店的骨头煲吧？我再猜猜，你该不会还喜欢排大队的“老无锡”口味的新万鑫，二泉老菜馆吧？江浙菜你该不会还喜欢吃排大队的外婆家，桂满陇吧？粤菜你该不会喜欢排大队的民记吧…",""
"方桥点心","方桥点心","6","4","无锡市","江阴市／无锡市","2","0","0","4","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","点心／早餐","待平台核验","","","N-待平台核验","BV1oP6mB4EuX","288428144480","回复：emm 是在中心城区附近的 好像叫方桥点心店 可好吃了",""
"卜岩面馆","卜岩面馆","3","3","无锡市","无锡市","2","0","0","1","存在明确推荐","明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","273983602144","三凤桥就上档次了，达哥是亲民美食，既然都到崇宁路那边鸡鸭鹅了，我推荐不如多走几步学前街卜岩面馆点一桌了",""
"苏兴记","苏兴记","13","5","无锡市","无锡市","1","0","0","12","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆／小笼","待平台核验","","","N-待平台核验","BV1cURwYnEum","265342158161","苏兴记的很不错","分店待确认"
"柒爷","柒爷","9","5","无锡市","无锡市","1","0","0","8","存在明确推荐","明确到店或菜品推荐；只有店名提及，缺少推荐语义","待歧义消解","羊肉火锅","待平台核验","","","D-歧义待解","BV1Z9NJ6vEPS","305716527329","怎么一堆浇头呀，酱油汤也能算菜的呀，而且这些菜两个我就能吃完[大哭]，但100块在无锡找柒爷啥的可以吃还可以的牛羊肉自助了呀。","分店待确认"
"胡记","胡记","8","4","无锡市","无锡市","1","0","0","7","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV15KSbYKEZS","245864884736","回复：本地正宗且好吃的不多目前我只吃到一家君溢面馆,锡胡记馄饨只有滨湖店好吃其他店不太行","名称过短且同名多"
"西新饭店","西新饭店","8","5","无锡市","无锡市","1","1","2","5","存在明确推荐","含明确负向体验；明确到店或菜品推荐；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","家常菜","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245842030881","回复：怡红院贵，有的菜还会踩雷，下班早，建议去市中心的天福苑或者西新饭店，下地铁还能顺便在三凤桥带点卤菜走",""
"红光面馆","红光面馆／老红光面馆","7","2","无锡市","无锡市","1","0","0","6","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆","待平台核验","","","N-待平台核验","BV1nd4y1u7P8","130450528656","稻香这条街有很多好吃的，德喜楼的面七点前是两块钱一晚，平时是4块钱一晚。后面的稻香楼，他们家的红烧肉一绝。许阿姨鸡蛋饼。红光面馆也不错。那家黄焖鸡也挺好吃的。稻香菜场有一家。鸡子饼半个月做一次，很实惠也不错。菜场里面还有一家做饼的，每天都要…",""
"汉巴味德","汉巴味德","6","1","无锡市","无锡市","1","2","0","3","存在明确推荐","明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","自助餐","待平台核验","","","N-待平台核验","BV1GgXNBiESt","296037177569","没吃过美式烤肉，感觉汉巴味德这种百元的巴西烤肉也不错，服务出品环境都比这个要好，尤其有我喜欢的烤牛舌[鼓掌]",""
"黑叔","黑叔","6","2","无锡市","无锡市","1","0","0","5","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV1GgXNBiESt","297013549120","回复：喜欢吃你就吃，没人拦着[呲牙]","名称过短"
"王裕兴","王裕兴／王裕兴肉庄／王裕兴肉骨头","6","4","无锡市","无锡市","1","0","0","5","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","熟食／本帮菜","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","279490469360","回复：小吃吃就去熙盛源，毛华，穆桂英，正经吃饭去怡红花院，啤酒苑也可以，怡红花院老板开的更好一点的一家盛铭轩-怡红花院我更喜欢，酱排骨只推荐三凤桥去吃新鲜的，千万别再带，特别是塑封包装的，三凤桥的桂花糕很好，鲜肉月饼估计现在没有了，再冷一点…",""
"锡胡记","锡胡记","6","3","无锡市","无锡市","1","0","0","5","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","无锡小吃","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245864884736","回复：本地正宗且好吃的不多目前我只吃到一家君溢面馆,锡胡记馄饨只有滨湖店好吃其他店不太行",""
"福兴","福兴","5","4","无锡市","无锡市","1","0","0","4","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV15KSbYKEZS","245585518961","到我家了？惠龙新村啊[星星眼]，附近有家福兴酸辣汤也很好吃啊","名称过短"
"老老头馄饨","老老头馄饨","5","3","无锡市","无锡市","1","1","1","2","存在明确推荐","含明确负向体验；明确到店或菜品推荐；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","保留候选","馄饨","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245883400624","哈哈，对面驾照学A1这里常去吃，还可以去民干路的老老头馄饨，以前就开这家店旁边人家后门","民干路线索"
"无锡大饭店","无锡大饭店","5","3","无锡市","无锡市","1","0","0","4","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","酒店餐饮","待平台核验","","","N-待平台核验","BV1o9XdYZEFp","256888324880","回复：这道菜，无锡大饭店应该是最正宗的，因为就是里面的大厨发明的[笑哭]",""
"阿兴酸辣汤","阿兴酸辣汤","4","3","无锡市","无锡市","1","0","0","3","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","小吃","待平台核验","","","N-待平台核验","BV1Nj41177WC","198034181120","莲蓉桥那里的阿兴酸辣汤挺好吃的，炸混沌加酸辣汤，旁边还有干将楼吃个早面",""
"宝界雄鹰","宝界雄鹰／宝界宏鹰","4","3","无锡市","无锡市","1","0","0","3","存在明确推荐","明确到店或菜品推荐；只有店名提及，缺少推荐语义","待歧义消解","餐厅","待平台核验","","","D-歧义待解","BV1e314YJEFA","245528943777","建议去尝尝宝界宏鹰那的菜才有无锡的味道！","招牌写法待平台确认"
"拱北楼","拱北楼","4","4","无锡市","无锡市","1","0","0","3","存在明确推荐","明确到店或菜品推荐；只有店名提及，缺少推荐语义","保留候选","小吃／本帮菜","待平台核验","","","N-待平台核验","BV1cURwYnEum","260609234513","老高下次来无锡可以去试试拱北楼的拌面，一代老无锡人的童年最美好的回忆啊",""
"海景壹号","海景壹号","4","1","无锡市","无锡市","1","0","0","3","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","餐厅","待平台核验","","","N-待平台核验","BV1vieoz9Eb9","274106367472","回复：海景壹号除了海鲜也很不错的。不点海鲜人均200多也能吃的很好了。",""
"美华楼面馆","美华楼／美华楼面馆","4","3","无锡市","无锡市","1","0","0","3","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","面馆","双平台已有记录","https://ditu.amap.com/search?query=%E6%97%A0%E9%94%A1%20%E7%BE%8E%E5%8D%8E%E6%A5%BC","https://www.dianping.com/shop/4299404/photos/album/p5","P2-双平台匹配","BV1nd4y1u7P8","130217358784","县前西街那边的美华楼正儿八经好吃 料头也好",""
"夏联福记","夏联福记／夏联福记老店","4","2","无锡市","无锡市","1","0","1","2","存在明确推荐","含反讽或戏谑信号；明确到店或菜品推荐；只有店名提及，缺少推荐语义","保留候选","本帮菜／面馆","双平台已有记录","https://www.amap.com/place/B0FFIRZHB8","https://www.dianping.com/shop/111596177/photos/album","P2-双平台匹配","BV11C4zz6E8e","279361186896","认为夏联福记老店的拌面值得吃并建议加胡椒粉","分店待确认"
"常盛香","常盛香","3","1","无锡市","无锡市","1","0","0","2","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","餐厅","待平台核验","","","N-待平台核验","BV14M4y187sh","162738027408","人家说常盛香的比毛华的好吃所以我就没去吃毛华，哈哈哈哈，只能等明年再去无锡的时候尝尝了",""
"李巷夜宵","李巷夜宵","3","1","无锡市","无锡市","1","0","0","2","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","夜宵／家常菜","待平台核验","","","N-待平台核验","BV1e314YJEFA","245465850961","去吃李巷夜宵 好吃！苍蝇馆子",""
"胖妹饭店","胖妹饭店","3","2","无锡市","无锡市","1","2","0","0","存在明确推荐","明确正向用餐体验；戏谑或比较提及，不等同推荐","保留候选","家常菜","待平台核验","","","N-待平台核验","BV15KSbYKEZS","245564329921","有没有无锡人说下胖妹饭店和怡红园哪个好吃[doge]，下个月去旅游准备找一家吃下看看",""
"人可包子铺","人可包子／人可包子铺","3","1","无锡市","无锡市","1","0","0","2","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","包子／早餐","待平台核验","","","N-待平台核验","BV1Ue4y1r7QE","135696809472","我喜欢吃人可包子铺",""
"阗福斋","阗福斋","3","2","无锡市","无锡市","1","0","0","2","存在明确推荐","明确正向用餐体验；只有店名提及，缺少推荐语义","保留候选","清真／小吃","待平台核验","","","N-待平台核验","BV1wi4y1z7oD","201367369776","12月去无锡玩了几天，吃得很好，可能是我对甜甜食物接受度比较高。一去就吃了毛华的玉兰饼和酸辣汤，真的好好吃啊，我超爱玉兰饼，每天早上吃一个都要积食一整天，但是第二天一早又要吃一个[害羞]梅花糕去了老法头和稻香这家，每次各买一个肉的和红豆的，…",""
"无锡老牛咸豆浆","无锡老牛咸豆浆／老牛咸豆浆","3","2","无锡市","无锡市","1","0","0","2","存在明确推荐","明确到店或菜品推荐；只有店名提及，缺少推荐语义","保留候选","早餐／豆浆","待平台核验","","","N-待平台核验","BV1wi4y1z7oD","201896144496","可以去尝尝无锡老牛咸豆浆，来常州的话可以去试试礼嘉坂上东街面馆",""
